timestamp,elapsed_s,rr_ms,bpm_inst
2026-08-19T19:54:38.496,0.672,671.9,89.30
2026-08-19T19:54:39.234,1.409,737.3,81.38
2026-08-19T19:54:40.232,2.407,998.0,60.12
2026-08-19T19:54:41.229,3.404,997.1,60.18
2026-08-19T19:54:42.151,4.326,921.9,65.08
2026-08-19T19:54:43.085,5.261,934.6,64.20
2026-08-19T19:54:44.023,6.198,937.5,64.00
2026-08-19T19:54:44.880,7.056,857.4,69.98
2026-08-19T19:54:45.647,7.822,766.6,78.27
2026-08-19T19:54:46.424,8.600,777.3,77.19
2026-08-19T19:54:47.153,9.328,728.5,82.36
2026-08-19T19:54:47.822,9.997,668.9,89.69
2026-08-19T19:54:48.449,10.625,627.9,95.55
2026-08-19T19:54:49.063,11.238,613.3,97.83
2026-08-19T19:54:49.736,11.911,672.9,89.17
2026-08-19T19:54:50.690,12.865,954.1,62.89
2026-08-19T19:54:51.581,13.757,891.6,67.29
2026-08-19T19:54:52.452,14.628,871.1,68.88
2026-08-19T19:54:53.293,15.469,840.8,71.36
2026-08-19T19:54:54.120,16.296,827.1,72.54
2026-08-19T19:54:54.886,17.062,765.6,78.37
2026-08-19T19:54:55.574,17.750,688.5,87.15
2026-08-19T19:54:56.227,18.402,652.3,91.98
2026-08-19T19:54:56.857,19.032,629.9,95.26
2026-08-19T19:54:57.496,19.672,639.6,93.80
2026-08-19T19:54:58.308,20.483,811.5,73.94
2026-08-19T19:54:59.197,21.372,888.7,67.52
2026-08-19T19:55:00.043,22.219,846.7,70.87
2026-08-19T19:55:00.864,23.040,821.3,73.06
2026-08-19T19:55:01.630,23.806,765.6,78.37
2026-08-19T19:55:02.339,24.515,709.0,84.63
2026-08-19T19:55:03.021,25.196,681.6,88.02
2026-08-19T19:55:03.666,25.842,645.5,92.95
2026-08-19T19:55:04.299,26.475,632.8,94.81
2026-08-19T19:55:04.940,27.115,640.6,93.66
2026-08-19T19:55:05.704,27.880,764.6,78.47
2026-08-19T19:55:06.528,28.703,823.2,72.88
2026-08-19T19:55:07.347,29.522,819.3,73.23
2026-08-19T19:55:08.166,30.342,819.3,73.23
2026-08-19T19:55:08.959,31.135,793.0,75.67
2026-08-19T19:55:09.719,31.895,759.8,78.97
2026-08-19T19:55:10.469,32.645,750.0,80.00
2026-08-19T19:55:11.188,33.363,718.8,83.48
2026-08-19T19:55:11.866,34.042,678.7,88.40
2026-08-19T19:55:12.515,34.690,648.4,92.53
2026-08-19T19:55:13.146,35.321,630.9,95.11
