timestamp,elapsed_s,rr_ms,bpm_inst
2026-08-19T20:14:18.804,226.841,428.7,139.95
2026-08-19T20:14:19.249,227.286,445.3,134.74
2026-08-19T20:14:19.710,227.747,460.9,130.17
2026-08-19T20:14:20.181,228.218,470.7,127.47
2026-08-19T20:14:20.654,228.691,473.6,126.68
2026-08-19T20:14:21.134,229.171,479.5,125.13
2026-08-19T20:14:21.631,229.668,497.1,120.71
2026-08-19T20:14:22.141,230.178,509.8,117.70
2026-08-19T20:14:22.667,230.704,526.4,113.99
2026-08-19T20:14:23.188,231.225,520.5,115.27
2026-08-19T20:14:23.703,231.740,515.6,116.36
2026-08-19T20:14:24.194,232.231,491.2,122.15
2026-08-19T20:14:24.659,232.696,464.8,129.08
2026-08-19T20:14:31.463,239.500,497.1,120.71
2026-08-19T20:14:31.953,239.990,490.2,122.39
2026-08-19T20:14:32.438,240.476,485.4,123.62
2026-08-19T20:14:33.891,241.928,485.4,123.62
2026-08-19T20:14:40.006,248.043,545.9,109.91
2026-08-19T20:14:40.615,248.652,609.4,98.46
2026-08-19T20:14:41.287,249.324,671.9,89.30
2026-08-19T20:14:41.980,250.018,693.4,86.54
2026-08-19T20:14:42.664,250.701,683.6,87.77
2026-08-19T20:14:43.313,251.351,649.4,92.39
2026-08-19T20:14:43.948,251.985,634.8,94.52
2026-08-19T20:14:44.577,252.614,628.9,95.40
2026-08-19T20:14:47.561,255.598,631.8,94.96
2026-08-19T20:14:48.242,256.279,681.6,88.02
2026-08-19T20:14:48.894,256.931,651.4,92.11
2026-08-19T20:14:50.629,258.666,627.9,95.55
2026-08-19T20:14:51.507,259.544,877.9,68.34
2026-08-19T20:14:52.274,260.312,767.6,78.17
2026-08-19T20:14:53.021,261.059,747.1,80.31
2026-08-19T20:14:53.724,261.761,702.1,85.45
2026-08-19T20:14:54.362,262.399,638.7,93.94
2026-08-19T20:14:57.229,265.266,626.0,95.85
2026-08-19T20:14:57.875,265.912,646.5,92.81
2026-08-19T20:14:58.523,266.561,648.4,92.53
2026-08-19T20:15:00.812,268.849,608.4,98.62
2026-08-19T20:15:01.503,269.540,691.4,86.78
2026-08-19T20:15:02.288,270.325,785.2,76.42
2026-08-19T20:15:03.014,271.051,725.6,82.69
2026-08-19T20:15:03.748,271.785,734.4,81.70
2026-08-19T20:15:04.485,272.522,737.3,81.38
2026-08-19T20:15:05.241,273.278,755.9,79.38
2026-08-19T20:15:06.148,274.186,907.2,66.14
2026-08-19T20:15:07.018,275.055,869.1,69.03
2026-08-19T20:15:07.883,275.920,865.2,69.35
2026-08-19T20:15:08.764,276.801,880.9,68.12
2026-08-19T20:15:09.649,277.687,885.7,67.74
2026-08-19T20:15:10.545,278.582,895.5,67.00
2026-08-19T20:15:11.448,279.485,903.3,66.42
2026-08-19T20:15:12.226,280.263,777.3,77.19
2026-08-19T20:15:16.174,284.211,967.8,62.00
2026-08-19T20:15:17.135,285.172,960.9,62.44
2026-08-19T20:15:18.080,286.117,945.3,63.47
2026-08-19T20:15:18.986,287.023,906.2,66.21
