timestamp,elapsed_s,rr_ms,bpm_inst
2026-07-15T18:49:07.030,55.334,720.7,83.25
2026-07-15T18:49:07.785,56.089,754.9,79.48
2026-07-15T18:49:08.564,56.868,779.3,76.99
2026-07-15T18:49:09.298,57.603,734.4,81.7
2026-07-15T18:49:09.960,58.265,662.1,90.62
2026-07-15T18:49:10.566,58.87,605.5,99.1
2026-07-15T18:49:11.169,59.474,603.5,99.42
2026-07-15T18:49:11.791,60.095,621.1,96.6
2026-07-15T18:49:12.430,60.734,639.6,93.8
2026-07-15T18:49:13.050,61.354,620.1,96.76
2026-07-15T18:49:13.640,61.944,589.8,101.72
2026-07-15T18:49:14.224,62.528,584,102.74
2026-07-15T18:49:14.802,63.106,578.1,103.78
2026-07-15T18:49:15.396,63.7,593.8,101.05
2026-07-15T18:49:15.999,64.303,602.5,99.58
2026-07-15T18:49:16.596,64.9,597.7,100.39
2026-07-15T18:49:17.187,65.491,590.8,101.55
2026-07-15T18:49:17.784,66.088,596.7,100.56
2026-07-15T18:49:18.407,66.711,623,96.3
2026-07-15T18:49:19.048,67.353,641.6,93.52
2026-07-15T18:49:19.649,67.953,600.6,99.9
2026-07-15T18:49:20.250,68.555,601.6,99.74
2026-07-15T18:49:20.911,69.215,660.2,90.89
2026-07-15T18:49:21.625,69.929,713.9,84.05
2026-07-15T18:49:22.352,70.656,727.5,82.47
2026-07-15T18:49:23.013,71.317,661.1,90.75
2026-07-15T18:49:23.647,71.951,633.8,94.67
2026-07-15T18:49:24.272,72.576,625,96
2026-07-15T18:49:24.912,73.216,639.6,93.8
2026-07-15T18:49:25.544,73.849,632.8,94.81
2026-07-15T18:49:26.156,74.46,611.3,98.15
2026-07-15T18:49:26.735,75.039,579.1,103.61
2026-07-15T18:49:27.291,75.595,555.7,107.98
2026-07-15T18:49:27.837,76.142,546.9,109.71
2026-07-15T18:49:28.376,76.681,539.1,111.3
2026-07-15T18:49:28.919,77.224,543,110.5
2026-07-15T18:49:29.503,77.808,584,102.74
2026-07-15T18:49:30.101,78.405,597.7,100.39
2026-07-15T18:49:30.750,79.054,648.4,92.53
2026-07-15T18:49:31.421,79.726,671.9,89.3
2026-07-15T18:49:32.101,80.405,679.7,88.28
2026-07-15T18:49:32.765,81.069,664.1,90.35
2026-07-15T18:49:33.418,81.723,653.3,91.84
2026-07-15T18:49:34.047,82.352,628.9,95.4
2026-07-15T18:49:34.657,82.961,609.4,98.46
2026-07-15T18:49:35.265,83.569,608.4,98.62
2026-07-15T18:49:35.874,84.178,608.4,98.62
2026-07-15T18:49:36.487,84.791,613.3,97.83
