timestamp,elapsed_s,rr_ms,bpm_inst
2026-08-19T19:57:25.493,0.467,466.8,128.54
2026-08-19T19:57:25.959,0.934,466.8,128.54
2026-08-19T19:57:26.424,1.398,464.8,129.08
2026-08-19T19:57:26.885,1.859,460.9,130.17
2026-08-19T19:57:27.339,2.313,454.1,132.13
2026-08-19T19:57:27.798,2.772,459.0,130.72
2026-08-19T19:57:28.256,3.230,458.0,131.00
2026-08-19T19:57:28.710,3.685,454.1,132.13
2026-08-19T19:57:29.166,4.140,455.1,131.85
2026-08-19T19:57:29.627,4.602,461.9,129.89
2026-08-19T19:57:30.076,5.050,448.2,133.86
2026-08-19T19:57:30.516,5.490,440.4,136.23
2026-08-19T19:57:31.005,5.979,489.3,122.63
2026-08-19T19:57:31.487,6.461,481.4,124.62
2026-08-19T19:57:31.954,6.928,466.8,128.54
2026-08-19T19:57:32.411,7.385,457.0,131.28
2026-08-19T19:57:33.318,8.292,907.2,66.14
2026-08-19T19:57:33.782,8.756,463.9,129.35
2026-08-19T19:57:34.239,9.213,457.0,131.28
2026-08-19T19:57:34.697,9.671,458.0,131.00
2026-08-19T19:57:35.167,10.142,470.7,127.47
2026-08-19T19:57:35.625,10.600,458.0,131.00
2026-08-19T19:57:36.098,11.072,472.7,126.94
2026-08-19T19:57:36.569,11.543,470.7,127.47
2026-08-19T19:57:37.028,12.002,459.0,130.72
2026-08-19T19:57:37.459,12.434,431.6,139.00
2026-08-19T19:57:37.773,12.747,313.5,191.40
2026-08-19T19:57:38.510,13.484,737.3,81.38
2026-08-19T19:57:38.839,13.813,329.1,182.31
2026-08-19T19:57:39.297,14.271,458.0,131.00
2026-08-19T19:57:39.746,14.720,448.2,133.86
2026-08-19T19:57:40.198,15.172,452.1,132.70
2026-08-19T19:57:40.644,15.618,446.3,134.44
2026-08-19T19:57:41.561,16.535,917.0,65.43
2026-08-19T19:57:42.008,16.982,447.3,134.15
2026-08-19T19:57:42.459,17.434,451.2,132.99
2026-08-19T19:57:42.919,17.894,460.0,130.45
2026-08-19T19:57:43.380,18.354,460.9,130.17
2026-08-19T19:57:43.839,18.813,459.0,130.72
2026-08-19T19:57:44.289,19.263,449.2,133.57
2026-08-19T19:57:44.736,19.710,447.3,134.15
2026-08-19T19:57:45.182,20.156,446.3,134.44
2026-08-19T19:57:45.637,20.611,455.1,131.85
2026-08-19T19:57:46.084,21.059,447.3,134.15
2026-08-19T19:57:46.521,21.495,436.5,137.45
2026-08-19T19:57:46.965,21.939,444.3,135.03
2026-08-19T19:57:47.403,22.377,437.5,137.14
2026-08-19T19:57:47.834,22.809,431.6,139.00
2026-08-19T19:57:48.274,23.248,439.5,136.53
2026-08-19T19:57:48.711,23.686,437.5,137.14
2026-08-19T19:57:49.147,24.121,435.5,137.76
2026-08-19T19:57:49.579,24.553,431.6,139.00
2026-08-19T19:57:50.002,24.977,423.8,141.57
2026-08-19T19:57:50.429,25.403,426.8,140.59
2026-08-19T19:57:50.859,25.833,429.7,139.64
2026-08-19T19:57:51.284,26.258,424.8,141.24
2026-08-19T19:57:51.707,26.681,422.9,141.89
2026-08-19T19:57:52.125,27.099,418.0,143.55
2026-08-19T19:57:52.542,27.517,418.0,143.55
2026-08-19T19:57:52.957,27.931,414.1,144.91
2026-08-19T19:57:53.374,28.348,417.0,143.89
2026-08-19T19:57:53.791,28.765,417.0,143.89
2026-08-19T19:57:54.205,29.179,414.1,144.91
2026-08-19T19:57:54.616,29.590,411.1,145.94
2026-08-19T19:57:55.029,30.003,413.1,145.25
2026-08-19T19:57:55.437,30.411,408.2,146.99
2026-08-19T19:57:55.848,30.822,411.1,145.94
2026-08-19T19:57:56.260,31.234,412.1,145.59
2026-08-19T19:57:56.669,31.644,409.2,146.63
2026-08-19T19:57:57.080,32.054,410.2,146.29
2026-08-19T19:57:57.485,32.459,405.3,148.05
2026-08-19T19:57:57.884,32.858,399.4,150.22
2026-08-19T19:57:58.294,33.269,410.2,146.29
2026-08-19T19:57:58.700,33.674,405.3,148.05
2026-08-19T19:57:59.103,34.077,403.3,148.77
2026-08-19T19:57:59.504,34.479,401.4,149.49
2026-08-19T19:57:59.909,34.883,404.3,148.41
2026-08-19T19:58:00.311,35.285,402.3,149.13
2026-08-19T19:58:00.712,35.687,401.4,149.49
2026-08-19T19:58:01.111,36.085,398.4,150.59
2026-08-19T19:58:01.504,36.479,393.6,152.46
2026-08-19T19:58:01.895,36.869,390.6,153.60
2026-08-19T19:58:02.299,37.273,404.3,148.41
2026-08-19T19:58:02.696,37.670,396.5,151.33
2026-08-19T19:58:03.088,38.062,392.6,152.84
2026-08-19T19:58:03.484,38.458,395.5,151.70
2026-08-19T19:58:03.879,38.854,395.5,151.70
2026-08-19T19:58:04.274,39.248,394.5,152.08
2026-08-19T19:58:04.670,39.645,396.5,151.33
2026-08-19T19:58:05.064,40.038,393.6,152.46
2026-08-19T19:58:05.461,40.436,397.5,150.96
2026-08-19T19:58:05.855,40.829,393.6,152.46
2026-08-19T19:58:06.239,41.213,383.8,156.34
2026-08-19T19:58:06.626,41.601,387.7,154.76
2026-08-19T19:58:07.015,41.989,388.7,154.37
2026-08-19T19:58:07.403,42.377,387.7,154.76
2026-08-19T19:58:07.788,42.762,384.8,155.94
2026-08-19T19:58:08.166,43.141,378.9,158.35
2026-08-19T19:58:08.549,43.523,382.8,156.73
2026-08-19T19:58:08.925,43.899,376.0,159.58
2026-08-19T19:58:09.309,44.283,383.8,156.34
2026-08-19T19:58:09.688,44.662,378.9,158.35
2026-08-19T19:58:10.069,45.043,380.9,157.54
2026-08-19T19:58:10.448,45.422,378.9,158.35
2026-08-19T19:58:10.827,45.801,378.9,158.35
2026-08-19T19:58:11.208,46.182,380.9,157.54
2026-08-19T19:58:11.591,46.565,383.8,156.34
2026-08-19T19:58:11.972,46.946,380.9,157.54
2026-08-19T19:58:12.351,47.325,378.9,158.35
2026-08-19T19:58:12.729,47.703,377.9,158.76
2026-08-19T19:58:13.106,48.080,377.0,159.17
2026-08-19T19:58:13.481,48.455,375.0,160.00
2026-08-19T19:58:13.860,48.834,378.9,158.35
2026-08-19T19:58:14.240,49.214,379.9,157.94
2026-08-19T19:58:14.623,49.597,382.8,156.73
2026-08-19T19:58:14.998,49.972,375.0,160.00
2026-08-19T19:58:15.382,50.356,384.8,155.94
2026-08-19T19:58:15.781,50.755,398.4,150.59
2026-08-19T19:58:16.208,51.183,427.7,140.27
2026-08-19T19:58:16.660,51.634,451.2,132.99
2026-08-19T19:58:17.088,52.062,428.7,139.95
2026-08-19T19:58:17.502,52.477,414.1,144.91
2026-08-19T19:58:17.915,52.889,412.1,145.59
2026-08-19T19:58:18.327,53.301,412.1,145.59
