timestamp,elapsed_s,rr_ms,bpm_inst
2026-08-19T20:14:18.804,226.841,428.7,139.95
2026-08-19T20:14:19.249,227.286,445.3,134.74
2026-08-19T20:14:19.710,227.747,460.9,130.17
2026-08-19T20:14:20.181,228.218,470.7,127.47
2026-08-19T20:14:20.654,228.691,473.6,126.68
2026-08-19T20:14:21.134,229.171,479.5,125.13
2026-08-19T20:14:21.631,229.668,497.1,120.71
2026-08-19T20:14:22.141,230.178,509.8,117.70
2026-08-19T20:14:22.667,230.704,526.4,113.99
2026-08-19T20:14:23.188,231.225,520.5,115.27
2026-08-19T20:14:23.703,231.740,515.6,116.36
2026-08-19T20:14:24.194,232.231,491.2,122.15
2026-08-19T20:14:24.659,232.696,464.8,129.08
2026-08-19T20:14:25.109,233.146,450.2,133.28
2026-08-19T20:14:25.561,233.598,451.2,132.99
2026-08-19T20:14:26.040,234.077,479.5,125.13
2026-08-19T20:14:26.796,234.833,755.9,79.38
2026-08-19T20:14:27.482,235.520,686.5,87.40
2026-08-19T20:14:28.152,236.189,669.9,89.56
2026-08-19T20:14:28.790,236.827,637.7,94.09
2026-08-19T20:14:29.396,237.433,605.5,99.10
2026-08-19T20:14:29.946,237.983,550.8,108.94
2026-08-19T20:14:30.467,238.504,520.5,115.27
2026-08-19T20:14:30.966,239.003,499.0,120.23
2026-08-19T20:14:31.463,239.500,497.1,120.71
2026-08-19T20:14:31.953,239.990,490.2,122.39
2026-08-19T20:14:32.438,240.476,485.4,123.62
2026-08-19T20:14:32.922,240.959,483.4,124.12
2026-08-19T20:14:33.405,241.442,483.4,124.12
2026-08-19T20:14:33.891,241.928,485.4,123.62
2026-08-19T20:14:34.370,242.407,479.5,125.13
2026-08-19T20:14:34.846,242.883,475.6,126.16
2026-08-19T20:14:35.307,243.344,460.9,130.17
2026-08-19T20:14:35.754,243.791,447.3,134.15
2026-08-19T20:14:36.202,244.239,448.2,133.86
2026-08-19T20:14:36.664,244.701,461.9,129.89
2026-08-19T20:14:37.137,245.174,472.7,126.94
2026-08-19T20:14:37.606,245.644,469.7,127.73
2026-08-19T20:14:38.067,246.104,460.9,130.17
2026-08-19T20:14:38.522,246.560,455.1,131.85
2026-08-19T20:14:38.981,247.019,459.0,130.72
