Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
Jane Doe,WALKING,2026-07-14,19:06:15,00:00:30,0.02,112,0.2,1.1,349:50,54:31,29,,,,,,,,,,,,,162,50,196,55,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),,,,,,,,,,,,,,,,,,
1,00:00:00,88,,,,,,0,,,,,,,,,,,,,,,,,,,,
,00:00:01,86,0,00:00,,,,0,,,,,,,,,,,,,,,,,,,,
,00:00:02,86,0,00:00,,,,0.1,,,,,,,,,,,,,,,,,,,,
,00:00:03,87,0,00:00,,,,0.29,,,,,,,,,,,,,,,,,,,,
,00:00:04,87,0,00:00,,,,0.54,,,,,,,,,,,,,,,,,,,,
,00:00:05,89,0,00:00,,,,0.71,,,,,,,,,,,,,,,,,,,,
,00:00:06,89,0,00:00,,,,0.74,,,,,,,,,,,,,,,,,,,,
,00:00:07,92,0,00:00,,,,0.74,,,,,,,,,,,,,,,,,,,,
,00:00:08,92,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:09,98,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:10,99,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:11,91,0,00:00,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:12,89,0,00:00,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:13,89,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:14,88,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:15,88,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:16,89,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:17,91,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:18,93,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:19,93,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:20,94,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:21,95,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:22,95,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:23,96,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:24,98,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:25,100,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:26,103,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:27,106,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:28,107,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:29,110,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:30,110,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
