Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
Jane Doe,WALKING,2026-07-14,19:06:15,00:00:30,0.02,120,0.2,1.1,349:50,54:31,29,,,,,,,,,,,,,162,50,196,55,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),,,,,,,,,,,,,,,,,,
1,00:00:00,120,,,,,,0,,,,,,,,,,,,,,,,,,,,
,00:00:01,121,0,00:00,,,,0,,,,,,,,,,,,,,,,,,,,
,00:00:02,122,0,00:00,,,,0.1,,,,,,,,,,,,,,,,,,,,
,00:00:03,123,0,00:00,,,,0.29,,,,,,,,,,,,,,,,,,,,
,00:00:04,124,0,00:00,,,,0.54,,,,,,,,,,,,,,,,,,,,
,00:00:05,125,0,00:00,,,,0.71,,,,,,,,,,,,,,,,,,,,
,00:00:06,124,0,00:00,,,,0.74,,,,,,,,,,,,,,,,,,,,
,00:00:07,123,0,00:00,,,,0.74,,,,,,,,,,,,,,,,,,,,
,00:00:08,122,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:09,121,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:10,120,0,00:00,,,,0.8,,,,,,,,,,,,,,,,,,,,
,00:00:11,121,0,00:00,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:12,122,0,00:00,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:13,123,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:14,124,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:15,125,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:16,124,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:17,123,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:18,122,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:19,121,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:20,120,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:21,121,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:22,122,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:23,123,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:24,124,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:25,125,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:26,124,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:27,123,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:28,122,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:29,121,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
,00:00:30,120,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
